file,handle,title,reading,background,background_hex,ink_hex,typeface,typeface_family,orientation,variant_skus
PRV-03-AI-MINT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,縦書き,PRV-03-AI-S-MINT PRV-03-AI-M-MINT PRV-03-AI-L-MINT
PRV-03-AI-MINY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,藍,#1f3c66,#f4f1e8,明朝,Shippori Mincho,横書き,PRV-03-AI-S-MINY PRV-03-AI-M-MINY PRV-03-AI-L-MINY
PRV-03-AI-FDET.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,縦書き,PRV-03-AI-S-FDET PRV-03-AI-M-FDET PRV-03-AI-L-FDET
PRV-03-AI-FDEY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,藍,#1f3c66,#f4f1e8,筆文字,Yuji Syuku,横書き,PRV-03-AI-S-FDEY PRV-03-AI-M-FDEY PRV-03-AI-L-FDEY
PRV-03-AI-GOTT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,縦書き,PRV-03-AI-S-GOTT PRV-03-AI-M-GOTT PRV-03-AI-L-GOTT
PRV-03-AI-GOTY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,藍,#1f3c66,#f4f1e8,極太ゴシック,Dela Gothic One,横書き,PRV-03-AI-S-GOTY PRV-03-AI-M-GOTY PRV-03-AI-L-GOTY
PRV-03-SUMI-MINT.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,墨,#22201e,#efe9dc,明朝,Shippori Mincho,縦書き,PRV-03-SUMI-S-MINT PRV-03-SUMI-M-MINT PRV-03-SUMI-L-MINT
PRV-03-SUMI-MINY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,墨,#22201e,#efe9dc,明朝,Shippori Mincho,横書き,PRV-03-SUMI-S-MINY PRV-03-SUMI-M-MINY PRV-03-SUMI-L-MINY
PRV-03-SUMI-FDET.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,縦書き,PRV-03-SUMI-S-FDET PRV-03-SUMI-M-FDET PRV-03-SUMI-L-FDET
PRV-03-SUMI-FDEY.png,amadare-ishi-wo-ugatsu,雨垂れ石を穿つ,あまだれいしをうがつ,墨,#22201e,#efe9dc,筆文字,Yuji Syuku,横書き,PRV-03-SUMI-S-FDEY PRV-03-SUMI-M-FDEY PRV-03-SUMI-L-FDEY
